3   2

1   1   2    210.0D3   100.0D0   2.0D8
2   2   3    210.0D3   100.0D0   2.0D8
3   3   4    210.0D3   100.0D0   2.0D8





11

 1   1   5    70D3   15.0D0   31.25D0
 2   1   2    70D3   15.0D0   31.25D0
 3   5   2    70D3   15.0D0   31.25D0
 4   5   6    70D3   15.0D0   31.25D0
 5   2   6    70D3   15.0D0   31.25D0
 6   2   3    70D3   15.0D0   31.25D0
 7   3   6    70D3   15.0D0   31.25D0
 8   6   7    70D3   15.0D0   31.25D0
 9   3   7    70D3   15.0D0   31.25D0
10   3   4    70D3   15.0D0   31.25D0
11   7   4    70D3   15.0D0   31.25D0



 
