4

1    0.0000D3  3.0000D3     0.0d0    0.0D0    0.0D0
2    3.0000D3  3.0000D3     0.0d0   -1.0D4   -5.0D6
3    5.1213D3  0.0000D3     0.0d0   -1.0D4    5.0D6
4    8.1213D3  0.0000D3     0.0d0    0.0D0    0.0D0




1    0.0D0    0.0D0      0.0D0    0.0D0
2   40.0D0    0.0D0     20.0D3    0.0D0
3   40.0D0   30.0D0      0.0D0  -25.0D3
4    0.0D0   30.0D0      0.0D0    0.0D0


6

1    0.0D0    0.0D0    0.0D0   1.0D0
2   15.0D0   15.0D0    1.0D0   1.0D0
3   15.0D0  -10.0D0    0.0D0   1.0D0
4   20.0D0  -10.0D0    1.0D0   1.0D0
5   40.0D0   10.0D0    1.0D0   1.0D0
6   60.0D0   10.0D0    0.0D0   1.0D0





